Name,Website,Country,Publisher,Language,Year_Start,panels,Level
Academic press,http://booksite.elsevier.com/brochures/academicpress/,UNITED STATES,,,,24,2
Altamira press,https://rowman.com/Altamira,UNITED STATES,,,,24,2
American chemical society,http://www.acs.org/content/acs/en.html,UNITED STATES,,,,24,2
American institute of mathematical sciences,http://aimsciences.org/,UNITED STATES,,,,24,2
American mathematical society,http://www.ams.org/home/page,UNITED STATES,,,,24,2
American nuclear society,http://www.ans.org/,UNITED STATES,,,,24,2
Amsterdam University Press,http://nl.aup.nl/,NETHERLANDS,,,,24,2
Belknap Press of Harvard University Press,http://www.hup.harvard.edu/,UNITED STATES,,,,24,2
Berghahn books,https://www.berghahnbooks.com/,UNITED KINGDOM,,,,24,2
Blackwell Verlag,http://eu.wiley.com/WileyCDA/Brand/id-35.html?&category=For+Working,GERMANY,,,,24,2
Bloomsbury academic,http://www.bloomsbury.com/us/academic/,UNITED KINGDOM,,,,24,2
Boydell & Brewer,http://www.boydellandbrewer.com/,,,,,24,2
Brepols,http://www.brepols.net/Pages/Home.aspx,BELGIUM,,,,24,2
Brill,http://www.brill.com/,NETHERLANDS,,,,24,3
Böhlau Verlag,http://www.boehlau-verlag.com/,GERMANY,,,,24,2
Beck,http://www.beck.de/,GERMANY,,,,24,2
Cambridge University Press,http://www.cambridge.org/,UNITED KINGDOM,,,,24,3
Campus Verlag,http://www.campus.de/,GERMANY,,,,24,2
Cold Spring Harbor Laboratory Press,http://www.cshlpress.com/,UNITED STATES,,,,24,2
Columbia University Press,http://cup.columbia.edu/,UNITED STATES,,,,24,2
Cornell University Press,http://www.cornellpress.cornell.edu/,UNITED STATES,,,,24,2
D.S. Brewer,http://www.boydellandbrewer.com/,UNITED KINGDOM,,,,24,2
De Gruyter,http://www.degruyter.com/,GERMANY,,,,24,3
Duke university press,http://www.dukeupress.edu/,UNITED STATES,,,,24,2
Edinburgh university press,http://www.euppublishing.com/,UNITED KINGDOM,,,,24,2
Edition text + kritik,http://www.etk-muenchen.de/,GERMANY,,,,24,2
Edward Elgar,http://www.e-elgar.co.uk/,UNITED KINGDOM,,,,24,2
Elsevier,http://www.elsevier.com/,NETHERLANDS,,,,24,2
Equinox publishing,https://www.equinoxpub.com/equinox/,UNITED KINGDOM,,,,24,2
European mathematical society publishing house,https://ems.press/,SWITZERLAND,,,,24,2
Fordham University Press,http://fordhampress.com/,UNITED STATES,,,,24,2
Franz Steiner Verlag,http://www.steiner-verlag.de/,GERMANY,,,,24,2
Gallimard,http://www.gallimard.fr/,FRANCE,,,,24,2
Gaudeamus,http://www.gaudeamus.fi/,FINLAND,,,,24,2
Harrassowitz verlag,http://www.harrassowitz-verlag.de/index.ahtml,GERMANY,,,,24,2
Hart publishing,http://www.hartpub.co.uk/,UNITED KINGDOM,,,,24,2
Harvard University Press,http://www.hup.harvard.edu/,UNITED STATES,,,,24,3
Honoré champion,http://www.honorechampion.com/fr/nouveautes/champion,FRANCE,,,,24,2
Intellect,http://www.intellectbooks.co.uk/,UNITED KINGDOM,,,,24,2
Wiley-ISTE,http://eu.wiley.com/WileyCDA/Section/id-320525.html,,,,,24,2
Language science press,https://langsci-press.org/index,,,,,24,2
Anales de la literatura espanola contemporanea,https://dialnet.unirioja.es/servlet/revista?codigo=71,UNITED STATES,Society of Spanish and Spanish-American Studies,English,1981.0,22,2
Anales de literatura hispanoamericana,http://revistas.ucm.es/portal/?ALHI,SPAIN,"Servicio de Publicaciones, Universidad Complutense",Multiple languages,1972.0,22,3
Analysis,http://www.oxfordjournals.org/society/analysis/,UNITED KINGDOM,Oxford University Press,English,1933.0,20,3
Analysis and pde,http://msp.org/apde/about/cover/cover.html,UNITED STATES,Mathematical Sciences Publishers,English,2008.0,1,3
Analytica chimica acta,http://www.journals.elsevier.com/analytica-chimica-acta/,NETHERLANDS,Elsevier,English,1947.0,4,2
Analytical chemistry,http://pubs.acs.org/journal/ancham,UNITED STATES,American Chemical Society,English,1948.0,4,3
Anatolian studies,http://www.biaa.ac.uk/home/index.php?option=com_content&amp;task=view&amp;id=31&amp;Itemid=37,UNITED KINGDOM,Cambridge University Press,English,1951.0,23,2
Ancient civilizations from scythia to siberia,http://www.brill.nl/ancient-civilizations-scythia-siberia,NETHERLANDS,Brill,English,1994.0,23,2
Ancient judaism and early christianity,http://www.brill.nl/publications/ancient-judaism-and-early-christianity,NETHERLANDS,Brill,English,2004.0,20,3
Ancient philosophy,http://www.ancientphilosophy.com/,UNITED STATES,"Dept. of Philosophy, Duquesne University",English,1980.0,20,2
Anesthesia and analgesia,http://www.anesthesia-analgesia.org,UNITED STATES,Lippincott,English,1957.0,13,2
Anesthesiology,http://www.anesthesiology.org,UNITED STATES,Lippincott,English,1940.0,13,2
Angewandte Chemie,https://onlinelibrary.wiley.com/journal/15213773,GERMANY,Wiley-VCH,English,1998.0,4,3
Angiogenesis,https://www.springer.com/journal/10456,SWITZERLAND,Springer Nature,English,1997.0,12,2
Anglia,https://www.degruyter.com/view/j/angl,GERMANY,De Gruyter,Multiple languages,1878.0,21,2
Animal,http://www.animal-journal.eu,UNITED KINGDOM,Elsevier,English,2007.0,15,2
Animal behaviour,http://www.journals.elsevier.com/animal-behaviour/,UNITED KINGDOM,Elsevier,English,1958.0,6,2
Animal feed science and technology,http://www.journals.elsevier.com/animal-feed-science-and-technology/,NETHERLANDS,Elsevier,English,1976.0,15,2
Animal genetics,http://www.wiley.com/WileyCDA/WileyTitle/productCd-AGE.html,UNITED KINGDOM,Wiley-Blackwell,English,1986.0,15,2
Animation-an interdisciplinary journal,http://anm.sagepub.com,UNITED KINGDOM,SAGE,English,2006.0,22,2
"Annales: histoire, sciences sociales",http://www.armand-colin.com/revue/27/1/annales-histoire-sciences-sociales.php,FRANCE,Éd. de l'École des hautes études en sciences sociales,French,1946.0,23,3
Annales de l institut fourier,http://aif.cedram.org,FRANCE,Institut Fourier,French,1949.0,1,2
Annales de l’Institut Henri Poincaré : analyse non linéaire,http://www.elsevier.com/locate/anihpc,FRANCE,Elsevier,Multiple languages,1984.0,1,3
Annales de l’institut henri poincare-probabilites et statistiques,http://www.imstat.org/aihp/default.htm,FRANCE,Elsevier,Multiple languages,1983.0,1,2
Annales scientifiques de l ecole normale superieure,http://www.math.ens.fr/edition/annales/,FRANCE,Elsevier,French,1864.0,1,3
Annali della scuola normale superiore di pisa-classe di scienze,http://annaliscienze.sns.it,ITALY,Stampacchia Guido,Multiple languages,1970.0,1,2
Annals of applied probability,http://www.imstat.org/aap/,UNITED STATES,Institute of Mathematical Statistics,English,1991.0,1,3
Annals of applied statistics,http://www.imstat.org/aoas/,UNITED STATES,Institute of Mathematical Statistics,English,2007.0,1,3
Annals of behavioral medicine,http://www.springer.com/medicine/journal/12160,UNITED STATES,Oxford University Press,English,1985.0,13,2
Annals of biomedical engineering,http://www.springer.com/biomed/journal/10439,UNITED STATES,Springer Nature,English,1972.0,11,2
Annals of botany,http://aob.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1887.0,6,2
Annals of emergency medicine,http://www.annemergmed.com/,UNITED STATES,Elsevier,English,1980.0,13,2
Annals of internal medicine,http://www.annals.org/,UNITED STATES,American College of Physicians,English,1927.0,12,3
Annals of mathematics,http://annals.math.princeton.edu/,UNITED STATES,Princeton University Press,English,1884.0,1,3
Annals of medicine,https://www.tandfonline.com/journals/iann20,UNITED KINGDOM,Taylor & Francis,English,1989.0,12,2
Annals of neurology,http://www3.interscience.wiley.com/journal/76507645/home,UNITED STATES,John Wiley & Sons,English,1977.0,13,3
Annals of oncology,http://annonc.oxfordjournals.org/,NETHERLANDS,Elsevier,English,1990.0,12,3
Annals of probability,http://www.imstat.org/aop/default.htm,UNITED STATES,Institute of Mathematical Statistics,English,1973.0,1,3
Annals of pure and applied logic,http://www.journals.elsevier.com/annals-of-pure-and-applied-logic/,NETHERLANDS,Elsevier,English,1983.0,1,2
Annals of science,http://www.tandfonline.com/loi/tasc20,UNITED KINGDOM,Taylor & Francis,English,1936.0,20,3
Annals of statistics,http://www.imstat.org/aos/,UNITED STATES,Institute of Mathematical Statistics,English,1973.0,1,3
Annals of surgery,http://www.annalsofsurgery.com,UNITED STATES,Lippincott,English,1885.0,13,3
Annals of surgical oncology,http://www.annalssurgicaloncology.org,UNITED STATES,Springer Nature,English,1994.0,13,2
Annals of the american academy of political and social science,http://ann.sagepub.com/,UNITED STATES,SAGE,English,1890.0,19,2
Annals of the rheumatic diseases,http://ard.bmj.com/,UNITED KINGDOM,BMJ Publishing Group,English,1939.0,12,3
Annals of thoracic surgery,http://ats.ctsnetjournals.org,UNITED STATES,Elsevier,English,1965.0,13,2
Annals of tourism research,http://www.journals.elsevier.com/annals-of-tourism-research/#description,UNITED KINGDOM,Pergamon Press,English,1973.0,17,3
International ACM SIGIR Conference on Research and Development in Information Retrieval,http://www.sigir.org/history.html,,,,,2,2
Annual of the British School at Athens,http://journals.cambridge.org/action/displayJournal?jid=ATH,UNITED KINGDOM,Cambridge University Press,English,1895.0,23,3
Annual review of anthropology,http://www.annualreviews.org/journal/anthro,UNITED STATES,Annual Reviews,English,1972.0,23,2
Annual review of applied linguistics,http://journals.cambridge.org/action/displayJournal?jid=APL,UNITED KINGDOM,Cambridge University Press,English,1980.0,21,2
Annual review of astronomy and astrophysics,http://www.annualreviews.org/journal/astro,UNITED STATES,Annual Reviews,English,1963.0,3,3
Annual review of biochemistry,http://www.annualreviews.org/journal/biochem,UNITED STATES,Stanford University Press,English,1932.0,7,2
Annual review of biomedical engineering,http://www.annualreviews.org/journal/bioeng,UNITED STATES,Annual Reviews,English,1999.0,11,2
Annual review of biophysics,http://www.annualreviews.org/journal/biophys,UNITED STATES,Annual Reviews,English,2008.0,11,2
Annual review of cell and developmental biology,http://www.annualreviews.org/journal/cellbio,UNITED STATES,Annual Reviews,English,1995.0,7,2
Annual review of clinical psychology,http://www.annualreviews.org/journal/clinpsy,UNITED STATES,Annual Reviews,English,2005.0,18,3
Review of cognitive linguistics,http://benjamins.com/catalog/rcl,NETHERLANDS,John Benjamins Publishing Company,English,2010.0,21,2
Annual review of earth and planetary sciences,http://www.annualreviews.org/journal/earth,UNITED STATES,Annual Reviews,English,1973.0,5,3
Annual review of ecology evolution and systematics,http://www.annualreviews.org/journal/ecolsys,UNITED STATES,Annual Reviews,English,2003.0,6,3
Annual review of economics,http://www.annualreviews.org/journal/economics,UNITED STATES,Annual Reviews,English,2009.0,16,2
Annual review of entomology,http://www.annualreviews.org/journal/ento,UNITED STATES,Annual Reviews,English,1956.0,6,2
Annual review of environment and resources,http://www.annualreviews.org/journal/energy,UNITED STATES,Annual Reviews,English,2003.0,5,2
Annual review of fluid mechanics,http://www.annualreviews.org/journal/fluid,UNITED STATES,Annual Reviews,English,1969.0,8,3
Annual review of food science and technology,http://www.annualreviews.org/journal/food,UNITED STATES,Annual Reviews,English,2010.0,15,2
Annual review of genetics,http://www.annualreviews.org/journal/genet,UNITED STATES,Annual Reviews,English,1967.0,7,2
Annual review of genomics and human genetics,http://www.annualreviews.org/journal/genom,UNITED STATES,Annual Reviews,English,2000.0,11,2
Annual review of immunology,http://www.annualreviews.org/journal/immunol,UNITED STATES,Annual Reviews,English,1983.0,11,3
Annual review of law and social science,http://www.annualreviews.org/journal/lawsocsci,UNITED STATES,Annual Reviews,English,2005.0,19,2
Annual review of marine science,http://www.annualreviews.org/journal/marine,UNITED STATES,Annual Reviews,English,2009.0,5,3
Annual review of materials research,http://www.annualreviews.org/journal/matsci,UNITED STATES,Annual Reviews,English,2001.0,10,2
Annual review of medicine,http://www.annualreviews.org/journal/med,UNITED STATES,Annual Reviews,English,1950.0,12,2
Annual review of neuroscience,http://www.annualreviews.org/journal/neuro,UNITED STATES,Annual Reviews,English,1978.0,11,2
Annual review of nutrition,http://www.annualreviews.org/journal/nutr,UNITED STATES,Annual Reviews,English,1981.0,14,3
Annual review of pathology-mechanisms of disease,http://www.annualreviews.org/journal/pathmechdis,UNITED STATES,Taylor & Francis,English,2006.0,11,2
Annual review of pharmacology and toxicology,http://www.annualreviews.org/journal/pharmtox,UNITED STATES,Annual Reviews,English,1976.0,11,3
Annual review of physiology,http://www.annualreviews.org/journal/physiol,UNITED STATES,Annual Reviews,English,1939.0,11,3
Annual review of phytopathology,http://www.annualreviews.org/journal/phyto,UNITED STATES,Annual Reviews,English,1963.0,6,2
Annual review of plant biology,http://www.annualreviews.org/journal/arplant,UNITED STATES,Annual Reviews,English,2002.0,6,2
Annual review of political science,http://www.annualreviews.org/journal/polisci,UNITED STATES,Annual Reviews,English,1998.0,19,3
Annual review of psychology,http://www.annualreviews.org/journal/psych,UNITED STATES,Annual Reviews,English,1950.0,18,3
Annual review of public health,http://www.annualreviews.org/journal/publhealth,UNITED STATES,Annual Reviews,English,1980.0,14,3
Annual review of sociology,http://www.annualreviews.org/journal/soc,UNITED STATES,Annual Reviews,English,1975.0,17,3
Annual reviews in control,http://www.journals.elsevier.com/annual-reviews-in-control/#description,UNITED KINGDOM,Pergamon Press,English,1997.0,9,2
Anthropologica,http://www.anthropologica.ca,CANADA,"Centre canadien de recherches en anthropologie, Université Saint-Paul",Multiple languages,1955.0,23,2
Anthropological forum,http://www.tandf.co.uk/journals/titles/00664677.asp,AUSTRALIA,Taylor & Francis,English,1963.0,23,2
Anthropological journal of european cultures,http://journals.berghahnbooks.com/ajec/,UNITED KINGDOM,Berghahn Books,English,2008.0,23,2
Anthropological linguistics,http://www.indiana.edu/~anthling,UNITED STATES,"Indiana University, Dept. of Anthropology",English,1959.0,21,2
Anthropological quarterly,http://aq.gwu.edu,UNITED STATES,Catholic University of America Press,English,1953.0,23,2
Anthropological theory,http://ant.sagepub.com/,UNITED KINGDOM,SAGE,English,2001.0,23,3
Anthropology and education quarterly,http://www.wiley.com/bw/journal.asp?ref=0161-7761,UNITED STATES,Wiley-Blackwell,English,1976.0,23,2
Anthropology and medicine,http://www.tandfonline.com/loi/canm20,UNITED KINGDOM,Routledge,English,1997.0,23,2
Anthropology in action,http://journals.berghahnbooks.com/aia/,UNITED KINGDOM,Berghahn Books,English,1988.0,23,2
Antike kunst,https://www.antikekunst.org/,SWITZERLAND,Vereinigung der Freunde Antiker Kunst,German,1958.0,22,2
Antimicrobial agents and chemotherapy,http://aac.asm.org/,UNITED STATES,American Society for Microbiology,English,1972.0,11,3
Antioxidants and redox signaling,http://www.liebertpub.com/ars,UNITED STATES,Mary Ann Liebert,English,1999.0,12,2
Antipode,http://www.wiley.com/WileyCDA/WileyTitle/productCd-ANTI.html,UNITED KINGDOM,Wiley-Blackwell,English,1969.0,17,3
Antiquite tardive,https://www.brepols.net/series/AT,BELGIUM,Brepols Publishers,Multiple languages,1993.0,23,2
Antiquity,http://www.antiquity.ac.uk,UNITED KINGDOM,Antiquity Publications,English,1927.0,23,3
Apeiron,http://www.degruyter.de/journals/apeiron/detailEn.cfm,GERMANY,De Gruyter,English,1966.0,20,2
Aphasiology,http://www.tandfonline.com/loi/paph20,UNITED KINGDOM,Routledge,English,1987.0,21,2
Appetite,http://www.elsevier.com/locate/appet,NETHERLANDS,Academic Press,English,1980.0,14,2
Applied acoustics,http://www.journals.elsevier.com/applied-acoustics/#description,UNITED KINGDOM,Elsevier,English,1968.0,3,2
Applied and computational harmonic analysis,http://www.elsevier.com/wps/find/journaldescription.cws_home/622786/description,UNITED STATES,Academic Press,English,1993.0,1,2
Applied animal behaviour science,http://www.journals.elsevier.com/applied-animal-behaviour-science/,NETHERLANDS,Elsevier,English,1984.0,15,2
Applied catalysis A : general,http://www.elsevier.com/locate/apcata,NETHERLANDS,Elsevier,English,1991.0,10,2
Applied catalysis B : environmental,https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy,NETHERLANDS,Elsevier,English,1992.0,10,3
Applied energy,http://www.journals.elsevier.com/applied-energy/#description,UNITED KINGDOM,Elsevier,English,1975.0,10,3
Applied ergonomics,http://www.journals.elsevier.com/applied-ergonomics/#description,UNITED KINGDOM,Elsevier,English,1969.0,14,2
Applied geography,http://www.journals.elsevier.com/applied-geography/#description,UNITED KINGDOM,Elsevier,English,1981.0,17,2
Applied linguistics,http://applij.oxfordjournals.org/,UNITED KINGDOM,Oxford University Press,English,1980.0,21,3
Applied mathematics and optimization,http://www.springer.com/mathematics/journal/245,UNITED STATES,Springer Nature,English,1974.0,1,2
Applied microbiology and biotechnology,http://link.springer.de/link/service/journals/00253/index.htm,GERMANY,Springer Nature,English,1984.0,7,2
Applied ontology,http://www.applied-ontology.org/,NETHERLANDS,IOS Press,English,2005.0,20,2
Applied physics letters,http://apl.aip.org/,UNITED STATES,American Institute of Physics,English,1962.0,3,3
Applied physics reviews,http://apr.aip.org/,UNITED STATES,American Institute of Physics,English,1980.0,3,2
Applied psycholinguistics,http://journals.cambridge.org/action/displayJournal?jid=APS,UNITED KINGDOM,Cambridge University Press,English,1980.0,21,2
Applied surface science,http://www.elsevier.com/locate/apsusc,NETHERLANDS,Elsevier,English,1985.0,3,2
Applied theatre research,"http://www.intellectbooks.co.uk/journals/view-Journal,id=218/",UNITED KINGDOM,Intellect,English,2012.0,22,2
Applied thermal engineering,https://www.sciencedirect.com/journal/applied-thermal-engineering,NETHERLANDS,Elsevier,English,1996.0,8,3
Approaching religion,https://journal.fi/ar,FINLAND,Donner-instituutti,English,2011.0,20,2
Aquaculture,http://www.elsevier.com/locate/aquaculture,NETHERLANDS,Elsevier,English,1972.0,15,2
Aquatic toxicology,http://www.journals.elsevier.com/aquatic-toxicology/,NETHERLANDS,Elsevier,English,1981.0,5,2
Arabian archaeology and epigraphy,http://www.wiley.com/bw/journal.asp?ref=0905-7196&amp;site=1,UNITED KINGDOM,Wiley-Blackwell,English,1990.0,23,2
Arabica,http://www.brill.nl/arabica,NETHERLANDS,Brill,Multiple languages,1954.0,21,3
Arbitration international,http://www.kluwerlawonline.com/productinfo.php?pubcode=ARBI,NETHERLANDS,Oxford University Press,English,1985.0,19,2
Arcadia,http://www.degruyter.com/rs/274_5340_ENU_h.htm,GERMANY,De Gruyter,Multiple languages,1966.0,22,2
Archaeologica austriaca,http://hw.oeaw.ac.at/archaeologia,AUSTRIA,Verlag der Österreichischen Akademie der Wissenschaften,German,1948.0,23,2
Archaeological and anthropological sciences,http://www.springer.com/earth+sciences/journal/12520,GERMANY,Springer Nature,English,2009.0,23,2
Archaeological dialogues,http://journals.cambridge.org/action/displayJournal?jid=ARD,NETHERLANDS,Van Gorcum,English,1994.0,23,3
Archaeological prospection,http://www.wiley.com/WileyCDA/WileyTitle/productCd-ARP.html,UNITED KINGDOM,John Wiley & Sons,English,1994.0,23,2
Archaeometry,http://www.wiley.com/WileyCDA/WileyTitle/productCd-ARCM.html,UNITED KINGDOM,Wiley-Blackwell,English,1958.0,23,3
Archeologia medievale,http://www.insegnadelgiglio.it/categoria-prodotto/periodici/archeologia-medievale/,ITALY,All'Insegna del Giglio,Italian,1974.0,23,2
Architectural engineering and design management,http://www.tandfonline.com/toc/taem20/current,UNITED KINGDOM,Taylor & Francis,English,2005.0,22,2
Architectural history,http://www.sahgb.org.uk/index.cfm/display_page/Publications%20-%20Journal,UNITED KINGDOM,Society of Architectural Historians of Great Britain,English,1958.0,22,2
Architectural science review,http://www.tandfonline.com/toc/tasr20/current,AUSTRALIA,Taylor & Francis,English,1958.0,22,3
Architectural theory review,http://www.tandf.co.uk/journals/titles/13264826.asp,AUSTRALIA,Taylor & Francis,English,1996.0,22,2
Archiv für geschichte der philosophie,http://www.degruyter.de/journals/agp/index.html,GERMANY,De Gruyter,German,1931.0,20,2
Archiv für Musikwissenschaft,http://www.steiner-verlag.de/AfM,GERMANY,Steiner,German,1918.0,22,2
Archiv für papyrusforschung und verwandte gebiete,http://www.degruyter.com/view/j/apf,GERMANY,De Gruyter,Multiple languages,1901.0,22,2
Archiv für reformationsgeschichte,http://www.fachzeitschriften-religion.de/archiv-fuer-reformationsgeschichte-aufsatzband,GERMANY,Gütersloher Verl.-Haus,Multiple languages,1903.0,20,3
Archive for history of exact sciences,http://www.springer.com/math/history+of+mathematics/journal/407,GERMANY,Springer Nature,Multiple languages,1960.0,20,2
Archive for rational mechanics and analysis,http://link.springer.de/link/service/journals/00205/index.htm,GERMANY,Springer Nature,English,1957.0,1,3
Archive for the psychology of religion,http://www.brill.nl/archive-psychology-religion,NETHERLANDS,SAGE,Miscellaneous languages,1914.0,20,3
Archival science,https://www.springer.com/journal/10502,NETHERLANDS,Springer Nature,English,2001.0,17,3
Archives de sciences sociales des religions,http://www.editions.ehess.fr/revues/archives-de-sciences-sociales-des-religions,FRANCE,Centre national de la recherche scientifique,Multiple languages,1973.0,20,2
Archives of disease in childhood,http://adc.bmj.com,UNITED KINGDOM,BMJ Publishing Group,English,1926.0,13,2
Archives of disease in childhood-fetal and neonatal edition,http://fn.bmj.com/,UNITED KINGDOM,BMJ Publishing Group,English,1988.0,13,3
Archives of pathology and laboratory medicine,http://www.archivesofpathology.org,UNITED STATES,American Medical Association,English,1976.0,11,2
Archives of physical medicine and rehabilitation,http://www.archives-pmr.org,UNITED STATES,Elsevier,English,1953.0,14,3
Archives of sexual behavior,http://www.springer.com/psychology/sexual+behaviour/journal/10508,UNITED STATES,Springer Nature,English,1971.0,18,2
Archives of toxicology,https://www.springer.com/journal/204,GERMANY,Springer Nature,Multiple languages,1974.0,11,3
Archivo espanol de arte,http://xn--archivoespaoldearte-53b.revistas.csic.es/index.php/aea,SPAIN,"Instituto de Historia, CSIC",Spanish,1940.0,22,2
Arctic anthropology,http://aa.uwpress.org/,UNITED STATES,University of Wisconsin Press,English,1962.0,23,2
Arctos,https://journal.fi/arctos,FINLAND,Klassillis-filologinen yhdistys,Multiple languages,1930.0,22,2
Area,http://www.wiley.com/WileyCDA/WileyTitle/productCd-AREA.html,UNITED KINGDOM,John Wiley & Sons,English,1969.0,17,2
Arethusa,http://www.press.jhu.edu/journals/arethusa/,UNITED STATES,Johns Hopkins University Press,English,1968.0,22,3
Argumentation,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0920-427X,NETHERLANDS,Springer Nature,English,1987.0,20,2
Ariane: revue detudes litteraires francaises,,PORTUGAL,Institut de Culture Française,French,1982.0,22,2
Ariel-a review of international english literature,http://www.ariel.ucalgary.ca/ariel/index.php/ariel,CANADA,University of Calgary,English,1970.0,22,2
Aries: journal for the study of western esotericism,http://www.brill.nl/aries,NETHERLANDS,Brill,Miscellaneous languages,2001.0,20,2
Arion-a journal of humanities and the classics,http://web.bu.edu/arion/,UNITED STATES,Trustees of Boston University,English,1962.0,22,2
Arkiv for matematik,http://www.mittag-leffler.se/publications/arkiv/,SWEDEN,Institut Mittag-Leffler,Multiple languages,1949.0,1,2
Arkiv för nordisk filologi,http://www.sol.lu.se/anf/,SWEDEN,LiberLäromedel,Multiple languages,1882.0,21,2
Art bulletin,http://www.collegeart.org/artbulletin/,UNITED STATES,College Art Association of America,English,1919.0,22,3
Art history,http://www.wiley.com/WileyCDA/WileyTitle/productCd-AHIS.html,UNITED KINGDOM,John Wiley & Sons,English,1978.0,22,3
Art journal,http://artjournal.collegeart.org/,UNITED STATES,College Art Association of America,English,1960.0,22,3
Arte medievale,http://www.artemedievale.it,ITALY,Sapienza Università di Roma,Multiple languages,1983.0,22,2
"Arteriosclerosis, thrombosis, and vascular biology",https://www.ahajournals.org/journal/atvb,UNITED STATES,Lippincott,English,1995.0,12,2
Arthritis research and therapy,http://arthritis-research.com/,UNITED KINGDOM,BioMed Central,English,2003.0,12,2
Arthroscopy-the journal of arthroscopic and related surgery,http://www.arthroscopyjournal.org,UNITED STATES,Elsevier,English,1985.0,13,3
Artificial intelligence,http://www.elsevier.com/locate/artint,NETHERLANDS,Elsevier,English,1970.0,2,3
Artificial intelligence and law,http://springerlink.metapress.com/openurl.asp?genre=journal&amp;issn=0924-8463,NETHERLANDS,Springer Nature,English,1992.0,19,2
Artificial intelligence in medicine,http://www.elsevier.com/locate/artmed,NETHERLANDS,Elsevier,English,1989.0,2,2
Artificial life,http://www.mitpressjournals.org/loi/artl,UNITED STATES,MIT Press,English,1994.0,2,2
Asia pacific law review,http://www.lexisnexis.com/hk/aplr/,NETHERLANDS,Taylor & Francis,English,1992.0,19,2
Asian survey,http://www.ucpressjournals.com/journal.asp?j=as,UNITED STATES,University of California Press,English,1961.0,17,2
Asian theatre journal,http://www.uhpress.hawaii.edu/journals/atj/,UNITED STATES,University of Hawaii Press,English,1984.0,22,2
Assessment and evaluation in higher education,http://www.tandfonline.com/toc/caeh20/current,UNITED KINGDOM,Routledge,English,1981.0,18,3
"Assessment in education: principles, policy and practice",http://www.tandfonline.com/toc/caie20/current,UNITED KINGDOM,Routledge,English,1994.0,18,2
Annual Meeting of the Association for Computational Linguistics,http://www.aclweb.org/website/acl,UNITED STATES,Association for Computational Linguistics,English,1964.0,2,3
Asterisque,http://smf.emath.fr/Publications/Asterisque/,FRANCE,Société mathématique de France,French,1973.0,1,2
Astronomy and astrophysics,http://www.aanda.org,FRANCE,EDP Sciences,English,1969.0,3,3
Astronomy and astrophysics review,http://www.springer.com/astronomy/astrophysics/journal/159,GERMANY,Springer Nature,English,1989.0,3,3
Astrophysical journal letters,http://iopscience.iop.org/2041-8205,UNITED KINGDOM,Institute of Physics Publishing,English,1988.0,3,3
Astrophysical journal supplement series,http://iopscience.iop.org/0067-0049/,UNITED KINGDOM,Institute of Physics Publishing,English,1954.0,3,2
Athenaeum: studi periodici di letteratura e storia dellantichita,https://athenaeum.unipv.it/,ITALY,Universita degli studi di Pavia,Multiple languages,1913.0,22,2
Atherosclerosis,http://www.elsevier.com/locate/atherosclerosis,NETHERLANDS,Elsevier,English,1970.0,12,2
"Atlantic studies: literary, cultural and historical perspectives",http://www.tandfonline.com/loi/rjas20,UNITED KINGDOM,Routledge,English,2004.0,23,2
Atmospheric chemistry and physics,http://www.atmospheric-chemistry-and-physics.net,GERMANY,Copernicus Publications,English,2001.0,5,3
Atmospheric measurement techniques,http://www.atmospheric-measurement-techniques.net,GERMANY,Copernicus Publications,English,2008.0,5,2
Auditing: a journal of practice and theory,http://aaahq.org/audit/ajpt.htm,UNITED STATES,Auditing Section of the American Accounting Association,English,1981.0,16,2
Augustinian studies,http://www.pdcnet.org/augstudies,UNITED STATES,Villanova University Press,English,1970.0,20,2
Australasian journal of philosophy,http://www.tandfonline.com/toc/rajp20/current,AUSTRALIA,Taylor & Francis,English,1947.0,20,3
Obesity surgery,https://www.springer.com/journal/11695,UNITED STATES,Springer Nature,English,1991.0,13,2
Obstetrics and gynecology,https://journals.lww.com/greenjournal/pages/default.aspx,UNITED STATES,Lippincott,English,1953.0,13,3
Occupational and environmental medicine,https://oem.bmj.com/,UNITED KINGDOM,BMJ Publishing Group,English,1994.0,14,3
Ocean development and international law,,UNITED STATES,Taylor & Francis,English,1973.0,19,2
Ocean engineering,,UNITED STATES,Pergamon Press,English,1968.0,8,2
Oceania,https://onlinelibrary.wiley.com/journal/18344461,AUSTRALIA,John Wiley & Sons,English,1930.0,23,2
Oceanic linguistics,https://uhpress.hawaii.edu/title/ol/,UNITED STATES,University Press of Hawaii,English,1962.0,21,2
Oceanography,http://www.tos.org/oceanography/guidelines.html,UNITED STATES,Oceanography Society,English,1988.0,5,2
October,https://direct.mit.edu/octo,UNITED STATES,MIT Press,English,1976.0,22,3
Ocular surface,https://www.journals.elsevier.com/the-ocular-surface,UNITED STATES,Elsevier,English,2003.0,13,3
Oecologia,https://www.springer.com/journal/442,GERMANY,Springer Nature,English,1968.0,6,2
Oikeus,http://demla.fi/oikeuslehti/,FINLAND,Suomen demokraattiset lakimiehet,Finnish,1972.0,19,2
